Date,Open,High,Low,Close,Adj Close,Volume
2017-07-06,47.099953,47.894051,46.554008,46.752537,46.752537,294542
2017-07-07,46.752537,48.390362,45.908806,47.794788,47.794788,416715
2017-07-10,47.645893,48.439995,46.901428,48.092575,48.092575,463348
2017-07-11,47.645893,49.928928,47.099953,48.985935,48.985935,994917
2017-07-12,49.482246,49.531879,48.390362,48.688148,48.688148,480174
2017-07-13,48.787411,49.234093,47.695526,47.894051,47.894051,326199
2017-07-14,48.142208,48.142208,46.355488,46.702904,46.702904,317294
2017-07-17,46.901428,47.298477,46.305855,46.603642,46.603642,240472
2017-07-18,47.943684,55.884666,47.943684,55.338722,55.338722,6314735
2017-07-19,57.373600,57.373600,52.609009,53.105320,53.105320,2662629
2017-07-20,53.502369,54.892040,52.311222,52.757904,52.757904,1423636
2017-07-21,52.807533,53.502369,50.772655,51.169704,51.169704,717143
2017-07-24,51.517124,52.559380,50.574135,50.772655,50.772655,574324
2017-07-25,51.120075,51.219337,49.879295,50.028191,50.028191,303963
2017-07-26,50.127453,53.403107,50.077820,51.616386,51.616386,1304710
2017-07-27,50.574135,50.971184,48.291100,48.588886,48.588886,774048
2017-07-28,48.340733,49.382984,47.894051,48.539257,48.539257,477758
2017-07-31,48.489624,49.333355,48.042946,48.291100,48.291100,289661
2017-08-01,48.340733,48.936306,47.298477,47.645893,47.645893,337975
2017-08-02,47.745155,48.291100,47.149586,47.348106,47.348106,152048
2017-08-03,47.447372,47.794788,46.256222,46.554008,46.554008,285420
2017-08-04,47.447372,47.794788,46.206593,46.851795,46.851795,359954
2017-08-07,47.447372,47.447372,46.504379,46.702904,46.702904,141766
2017-08-08,47.497002,47.497002,45.313232,45.462124,45.462124,185857
2017-08-09,45.412495,45.412495,42.881306,43.179092,43.179092,426677
2017-08-10,42.980568,42.980568,40.945690,41.342739,41.342739,487604
2017-08-11,41.193848,41.690159,39.804176,40.647903,40.647903,424284
2017-08-14,41.392372,43.675404,41.392372,43.228725,43.228725,302491
2017-08-16,43.377617,44.767288,42.682781,44.320610,44.320610,321886
